nr,certificate_number,registration_date,name,administrator,location,county
1,1,2004-06-15,Valea Azugii - Cabana Trifoi - Cabana Susai,Consiliul Judetean Prahova,Muntii Baiului,Prahova
2,2,2004-06-15,Cabana Limbaselu - Cabana Garbova,Consiliul Judetean Prahova,Muntii Baiului,Prahova
3,3,2005-10-31,Cheia - Cabana Muntele Rosu - Cabana Varful Ciucas,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
4,4,2005-10-31,Cheia - Culmea Gropsoarele - Zaganu - Saua La Rascuce - Saua Chirusca,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
5,5,2005-10-31,Saua La Rascruce - Cabana Muntele Rosu,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
6,6,2005-10-31,Saua Chirusca - Cabana Varful Ciucas,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
7,7,2005-10-31,Cheia - Valea Berii - Cabana Varful Ciucas,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
8,8,2005-10-31,Cheia - Cheile Cheitei - Valea Berii,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
9,9,2005-10-31,Cabana Muntele Rosu - Valea Berii,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
10,10,2005-10-31,Cabana Varful Ciucas - Varful Ciucas - Culmea Bratocea - Pasul Bratocea,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
11,11,2005-10-31,Cheia - Pasul Bratocea,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
12,12,2005-10-31,Saua La Rascruce - Valea Paraului Alb - Poiana Valea Stanei,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
13,13,2005-10-31,Saua Chirusca - Cheile Vaii Stanei - Poiana Valea Stanei,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
14,14,2005-10-31,Saua Chirusca - Culmea Vaii Stanei - Pasul Boncuta - Tabla Butii,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
15,15,2005-10-31,Poiana Valea Stanei - Culmea Buzaianu - Cheia,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
16,16,2005-10-31,Poiana Valea Stanei - Valea Paraului Sterp - Varful Zaganu,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
17,17,2005-10-31,Cabana Ciucas - Curmatura Stanei - Valea Strambu - Vama Buzaului,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
18,18,2005-10-31,Cabana Ciucas - Saua Tigailor - Poiana Teslei - Piciorul Teslei - Podul Teslei,Consiliul Judetean Prahova,Muntii Ciucas,Prahova
