nr,certificate_number,registration_date,name,administrator,location,county
1,1,2004-06-15,Valea Azugii - Cabana Trifoi - Cabana Susai,Consiliul Județean Prahova,Munții Baiului,Prahova
2,2,2004-06-15,Cabana Limbășelu - Cabana Gârbova,Consiliul Județean Prahova,Munții Baiului,Prahova
3,3,2005-10-31,Cheia - Cabana Muntele Roșu - Cabana Ciucaș,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
4,4,2005-10-31,Cheia - Culmea Gropșoarelor - Zăganu - La Răscuce - Șaua Chirușca,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
5,5,2005-10-31,La Răscruce - Cabana Muntele Roșu,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
6,6,2005-10-31,Șaua Chirușca - Cabana Ciucaș,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
7,7,2005-10-31,Cheia - Valea Berii - Cabana Ciucaș,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
8,8,2005-10-31,Cheia - Cheile Cheiței - Valea Berii,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
9,9,2005-10-31,Cabana Muntele Roșu - Valea Berii,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
10,10,2005-10-31,Cabana Ciucaș - Vârf Ciucaș - Culmea Bratocea - Pasul Bratocea,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
11,11,2005-10-31,Cheia - Pasul Bratocea,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
12,12,2005-10-31,La Răscruce - Valea Pârâului Alb - Poiana Valea Stânei,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
13,13,2005-10-31,Șaua Chirușca - Cheile Văii Stânei - Poiana Valea Stânei,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
14,14,2005-10-31,Șaua Chirușca - Culmea Văii Stânei - Pasul Boncuța - Tabla Buții,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
15,15,2005-10-31,Poiana Valea Stânei - Culmea Buzăianu - Cheia,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
16,16,2005-10-31,Poiana Valea Stânei - Valea Pârâului Sterp - Vârful Zăganu,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
17,17,2005-10-31,Cabana Ciucaș - Curmătura Stânei - Valea Strâmbu - Vama Buzăului,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
18,18,2005-10-31,Cabana Ciucaș - Șaua Tigăilor - Poiana Teslei - Piciorul Teslei - Podul Teslei,Consiliul Județean Prahova,Masivul Ciucaș,Prahova
19,19,2006-05-02,Sat Sebeș - Drumul forestier - Stâna din Groape - Șaua Comisului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
20,20,2006-05-02,Sat Dejani - Valea Dejanilor - Curmătura Brătila,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
21,21,2006-05-02,Sat Breaza - Valea Pojorta - Plaiul Hoților - Cabana Urlea,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
22,22,2006-05-02,Sat Breaza - Colții Brezei - Cabana Urlea - Curmătura Moșului - Valea Urlei - Curmătura Zârnei,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
23,23,2006-05-02,Cabana Urlea - Curmătura Moșului - Vârful Urlea - Șaua Mogoțului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
24,24,2006-05-02,Șaua Moșului - Lacul Urlea - Șaua lacului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
25,25,2006-05-02,"Orașul Victoria - ""La Șipote"" - Muchea Tărâța - Cabana Podragul",Consiliul Județean Brașov,Masivul Făgăraș,Brașov
26,26,2006-05-02,Complex turistic Sâmbăta - Cabana Valea Sâmbetei - Fereastra Mare a Sâmbetei,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
27,27,2006-05-02,Cabana Valea Sâmbetei - Piatra Caprei - La Crucea Ciobanului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
28,28,2006-05-02,Valea Sâmbetei - Fereastra Mică a Sâmbetei,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
29,29,2006-05-02,La Cruce - Vârful Cheia Bândei - Șaua sub Vârful Bândei,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
30,30,2006-05-02,Mănăstirea Sâmbăta - Muchia Drăgușului - Căldarea Răcorele,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
31,31,2006-05-02,Sat Viștișoara - Lacul Viștișoara - Șaua Răcorele - Valea Sâmbăta,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
32,32,2006-05-02,Valea Sâmbetei (păstrăvărie) - Poiana Urzicii - Poiana La Comandă,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
33,33,2006-05-02,Valea Sâmbetei - Muchia Drăgușului - Poiana Lespezilor,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
34,34,2006-05-02,Orașul Victoria - Valea Viștea Mare - Șaua Portița Viștei,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
35,35,2006-05-02,Șaua Comisului - Vârful Viștea Mare - Șaua Podragului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
36,36,2006-05-02,Cabana Plaiul Foii - Rudărița - Vârful Văcarea - Șaua Comisului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
37,37,2006-05-02,Cabana Plaiul Foii - Rudărița - Valea Lerescu - Șaua Comisului,Consiliul Județean Brașov,Masivul Făgăraș,Brașov
38,38,2006-05-02,Orașul Zărnești - Refugiu Diana - Brâna Caprelor - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
39,39,2006-05-02,Refugiu Diana - Vârful Padina Popii - Vârful Ascuțit,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
40,40,2006-05-02,Orașul Zărnești - Valea Crăpăturii - Șaua Crăpătura - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
41,41,2006-05-02,Padina Hotarului - Turnul Pietrei Craiului,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
42,42,2006-05-02,Padina Șindrileriei - Turnul Pietrei Craiului,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
43,43,2006-05-02,Cabana Plaiul Foii - Refugiu Spirla - La Lanțuri - Șaua Grindului,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
44,44,2006-05-02,Orașul Zărnești - Fântâna lui Botorog - Valea Curmătura - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
45,45,2006-05-02,Orașul Zărnești - Sat Peștera,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
46,46,2006-05-02,Orașul Zărnești - Prăpăstiile Zărneștilor - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
47,47,2006-05-02,Orașul Zărnești - Prăpăstiile Zărneștilor - La Table,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
48,48,2006-05-02,Poiana Zănoaga - Piatra Craiului mică - Șaua Crăpătura - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
49,49,2006-05-02,Cabana Curmătura - Poiana Vlădușca - La Table,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
50,50,2006-05-02,Casa Folea - Prăpăstiile Zărneștilor - Valea Cheii - Cabana Curmătura,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
51,51,2006-05-02,Cabana Plaiul Foii - Curmătura Foii - Șaua Funduri,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
52,52,2006-05-02,Curmătura Pietrei Craiului - Vârful La Om - Șaua Funduri,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
53,53,2006-05-02,Sat Șirnea - Podu Dâmboviței,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
54,54,2006-05-02,Sat Șirnea - Săpături - Valea Seacă - Refugiul Grind,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
55,55,2006-05-02,Sat Șirnea - Curmătura Gropilor,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
56,56,2006-05-02,Bran Peștera (Casa Folea) - Toancheș - Măgura Mică - Fântâna lui Botorog,Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
57,57,2006-05-02,Bran Peștera (Casa Folea) - Valea Pietrelor - Șaua Joaca - Șaua Vlădușca (La Table),Consiliul Județean Brașov,Masivul Piatra Craiului,Brașov
58,58,2006-05-02,Comuna Fundata - Fundățica - Curmătura Fiarelor - Șaua Strunga,Consiliul Județean Brașov,Masivul Leaota,Brașov
59,59,2006-05-02,Plaiul lui Lom - Casa de vânătoare Bângăleasa - Șaua Strunga,Consiliul Județean Brașov,Masivul Bucegi,Brașov
60,60,2006-05-02,Comuna Moeciu - Peștera Liliecilor - Casa Folea,Consiliul Județean Brașov,Masivul Bucegi,Brașov
61,61,2006-05-02,Comuna Moeciu - Casa de vânătoare Bângăleasa - Plaiul Țapului - Șaua Bătrână,Consiliul Județean Brașov,Masivul Bucegi,Brașov
62,62,2006-05-02,Moeciu de Sus - Valea Bângăleasa - Șaua Strunga,Consiliul Județean Brașov,Masivul Bucegi,Brașov
63,63,2006-05-02,Casa de vânătoare Bângăleasa - Valea Gaura (Stâna Gaura),Consiliul Județean Brașov,Masivul Bucegi,Brașov
64,64,2006-05-02,Bran Poartă - Valea Clincea - Vârful Omul,Consiliul Județean Brașov,Masivul Bucegi,Brașov
65,65,2006-05-02,Bran Poartă - Valea Ciubotei - Vârful Omul,Consiliul Județean Brașov,Masivul Bucegi,Brașov
66,66,2006-05-02,Bran Poartă - Valea Gaura - Vârful Omul,Consiliul Județean Brașov,Masivul Bucegi,Brașov
67,67,2006-05-02,Bran - Casa de vânătoare Bângăleasa - Șaua Strunga,Consiliul Județean Brașov,Masivul Bucegi,Brașov
68,68,2006-05-02,Bran Șimon - Valea Șimonului - Valea Gaura - Stâna Gaura,Consiliul Județean Brașov,Masivul Bucegi,Brașov
69,69,2006-05-02,Vârful Omul - Drumul Grănicerilor - Doamnele - Bătrâna - Șaua Strunga,Consiliul Județean Brașov,Masivul Bucegi,Brașov
70,70,2006-05-02,Oraș Râșnov - Valea Glăjăriei - Cabana Mălăiești - Vârful Omul,Consiliul Județean Brașov,Masivul Bucegi,Brașov
71,71,2006-05-02,Cabana Mălăiești - Lacul Tigănești - Șaua Tigănești,Consiliul Județean Brașov,Masivul Bucegi,Brașov
72,72,2006-05-02,Cabana Mălăiești - Brâna Caprelor - Creasta Bucșoiului,Consiliul Județean Brașov,Masivul Bucegi,Brașov
73,73,2006-05-02,Pichetul Roșu - Prepeleac - Cabana Mălăiești (Tache Ionescu),Consiliul Județean Brașov,Masivul Bucegi,Brașov
74,74,2006-05-02,Pichetul Roșu - Prepeleac - Vârful Bucșoiul - Vârful Omul,Consiliul Județean Brașov,Masivul Bucegi,Brașov
