certificate_number,column,correction
1,name,CLEANING_RULE.CORRECT_STICKY_DASHES
1,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
1,administrator,CLEANING_RULE.CONVERT_CHARS
1,location,CLEANING_RULE.CONVERT_CHARS
2,name,CLEANING_RULE.CONVERT_CHARS
2,name,CLEANING_RULE.CORRECT_STICKY_DASHES
2,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
2,administrator,CLEANING_RULE.CONVERT_CHARS
2,location,CLEANING_RULE.CONVERT_CHARS
3,name,CLEANING_RULE.CONVERT_CHARS
3,name,CLEANING_RULE.CORRECT_STICKY_DASHES
3,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
3,administrator,CLEANING_RULE.CONVERT_CHARS
3,location,CLEANING_RULE.CONVERT_CHARS
4,name,CLEANING_RULE.CONVERT_CHARS
4,name,CLEANING_RULE.CORRECT_STICKY_DASHES
4,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
4,administrator,CLEANING_RULE.CONVERT_CHARS
4,location,CLEANING_RULE.CONVERT_CHARS
5,name,CLEANING_RULE.CONVERT_CHARS
5,name,CLEANING_RULE.CORRECT_STICKY_DASHES
5,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
5,administrator,CLEANING_RULE.CONVERT_CHARS
5,location,CLEANING_RULE.CONVERT_CHARS
6,name,CLEANING_RULE.CONVERT_CHARS
6,name,CLEANING_RULE.CORRECT_STICKY_DASHES
6,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
6,administrator,CLEANING_RULE.CONVERT_CHARS
6,location,CLEANING_RULE.CONVERT_CHARS
7,name,CLEANING_RULE.CONVERT_CHARS
7,name,CLEANING_RULE.CORRECT_STICKY_DASHES
7,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
7,administrator,CLEANING_RULE.CONVERT_CHARS
7,location,CLEANING_RULE.CONVERT_CHARS
8,name,CLEANING_RULE.CONVERT_CHARS
8,name,CLEANING_RULE.CORRECT_STICKY_DASHES
8,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
8,administrator,CLEANING_RULE.CONVERT_CHARS
8,location,CLEANING_RULE.CONVERT_CHARS
9,name,CLEANING_RULE.CONVERT_CHARS
9,name,CLEANING_RULE.CORRECT_STICKY_DASHES
9,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
9,administrator,CLEANING_RULE.CONVERT_CHARS
9,location,CLEANING_RULE.CONVERT_CHARS
10,name,CLEANING_RULE.CONVERT_CHARS
10,name,CLEANING_RULE.CORRECT_STICKY_DASHES
10,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
10,administrator,CLEANING_RULE.CONVERT_CHARS
10,location,CLEANING_RULE.CONVERT_CHARS
11,name,CLEANING_RULE.CORRECT_STICKY_DASHES
11,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
11,administrator,CLEANING_RULE.CONVERT_CHARS
11,location,CLEANING_RULE.CONVERT_CHARS
12,name,CLEANING_RULE.CORRECT_STICKY_DASHES
12,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
12,administrator,CLEANING_RULE.CONVERT_CHARS
12,location,CLEANING_RULE.CONVERT_CHARS
13,name,CLEANING_RULE.CONVERT_CHARS
13,name,CLEANING_RULE.CORRECT_STICKY_DASHES
13,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
13,administrator,CLEANING_RULE.CONVERT_CHARS
13,location,CLEANING_RULE.CONVERT_CHARS
14,name,CLEANING_RULE.CONVERT_CHARS
14,name,CLEANING_RULE.CORRECT_STICKY_DASHES
14,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
14,administrator,CLEANING_RULE.CONVERT_CHARS
14,location,CLEANING_RULE.CONVERT_CHARS
15,name,CLEANING_RULE.CORRECT_STICKY_DASHES
15,name,CLEANING_RULE.REMOVE_MULTI_WHITESPACE
15,administrator,CLEANING_RULE.CONVERT_CHARS
15,location,CLEANING_RULE.CONVERT_CHARS
